Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.197                          str_m2_o10_o16_pcu_s_ID_108                         1170              95.4800,77.3700,103.7000    22.6920,26.1110,26.4660      1,1,1         C,H,N,Cu,O,Cl       
str_m2_o10_o16_pcu_sym.2                            str_m2_o10_o16_pcu_s_ID_109                         864               94.0100,77.0600,103.2100    22.2620,26.0780,26.8020      1,1,1         C,H,N,Cu,O,S        
str_m2_o10_o16_pcu_sym.20                           str_m2_o10_o16_pcu_s_ID_110                         882               94.8700,77.5400,103.3500    22.3920,26.1760,26.7860      1,1,1         C,H,N,Br,Cu,O       
str_m2_o10_o16_pcu_sym.21                           str_m2_o10_o16_pcu_s_ID_111                         810               94.0500,78.5200,102.9800    22.3960,26.0710,26.8750      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.22                           str_m2_o10_o16_pcu_s_ID_112                         972               94.9400,77.3100,103.3600    22.4150,26.1500,26.8020      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.23                           str_m2_o10_o16_pcu_s_ID_113                         918               94.6300,77.4600,103.2900    22.3790,26.0800,26.8030      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.24                           str_m2_o10_o16_pcu_s_ID_114                         1116              93.8000,77.3600,102.5200    22.2570,26.0740,26.6840      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.25                           str_m2_o10_o16_pcu_s_ID_115                         846               94.8600,80.0000,102.8200    22.5730,26.0170,26.9680      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.26                           str_m2_o10_o16_pcu_s_ID_116                         828               94.0500,77.2500,103.1300    22.2750,26.1780,26.7490      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.27                           str_m2_o10_o16_pcu_s_ID_117                         918               94.9800,77.7100,102.9000    22.4750,26.0680,26.8030      1,1,1         C,H,N,Cu,O          
